,Number,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
10,11.0,Willie Green,Detroit-Mercy,30.0,34.0,22.6,8.1,16.6,0.49,1.2,3.3,0.378,5.1,6.3,0.805,1.1,3.9,4.9,2.5,1.3,0.4,2.3,2.4
11,12.0,Ricky Minard,Morehead State,29.0,31.3,22.5,7.8,15.0,0.516,1.9,5.1,0.367,5.1,6.1,0.837,1.5,4.8,6.2,4.0,2.2,0.6,3.1,2.7
12,13.0,Chris Kaman,Central Michigan,31.0,34.0,22.4,7.9,12.6,0.622,0.0,0.0,0.0,6.7,8.9,0.75,3.6,8.4,12.0,1.3,0.6,3.2,4.4,3.2
13,14.0,Seth Doliboa,Wright State,28.0,35.9,22.3,7.8,17.4,0.446,2.4,6.3,0.381,4.4,5.8,0.765,1.9,5.7,7.5,1.3,1.1,1.2,2.3,3.0
14,15.0,Marcus Hatten,St. John's,34.0,35.4,22.2,8.1,19.2,0.424,1.6,5.4,0.303,4.3,5.9,0.73,1.9,3.6,5.6,4.1,2.9,0.5,3.8,2.5
15,16.0,Carmelo Anthony,Syracuse,35.0,36.4,22.2,7.9,17.5,0.453,1.6,4.7,0.337,4.8,6.8,0.706,2.9,6.9,9.7,2.2,1.5,0.9,2.2,2.2
16,17.0,Andre Emmett,Texas Tech,34.0,37.0,21.8,8.7,17.5,0.499,0.3,1.1,0.289,4.0,5.6,0.712,2.3,4.4,6.6,1.9,1.9,0.5,2.1,1.5
17,18.0,Julius Jenkins,Georgia Southern,27.0,35.0,21.7,7.9,17.4,0.455,2.7,6.6,0.418,3.1,4.3,0.718,1.8,3.1,4.9,3.4,1.1,0.2,2.4,2.1
18,19.0,Ron Williamson,Howard,30.0,37.2,21.7,6.6,15.9,0.412,3.5,7.9,0.439,5.1,5.9,0.864,0.9,2.0,2.8,2.3,1.5,0.0,2.4,2.0
19,20.0,Darshan Luckey,St. Francis (PA),28.0,37.5,21.6,7.2,18.8,0.383,1.6,5.9,0.28,5.6,7.2,0.777,0.8,4.4,5.1,1.6,1.7,0.3,4.1,2.3
20,21.0,Dwyane Wade,Marquette,33.0,32.1,21.5,7.6,15.2,0.501,0.4,1.3,0.318,5.9,7.5,0.779,1.8,4.5,6.3,4.4,2.2,1.3,3.2,2.3
21,22.0,Brandon Hunter,Ohio,30.0,38.3,21.5,7.2,13.8,0.523,0.4,1.2,0.297,6.6,11.2,0.594,3.2,9.4,12.6,2.6,0.8,1.2,3.6,2.8
22,23.0,Jermaine Hall,Wagner,32.0,33.8,21.4,8.5,14.8,0.575,0.2,0.8,0.269,4.2,5.8,0.719,2.7,4.4,7.1,1.6,0.7,0.8,2.6,2.9
23,24.0,Marques Green,St. Bonaventure,27.0,37.1,21.3,6.7,17.1,0.395,3.5,8.9,0.392,4.3,4.9,0.879,0.8,2.9,3.7,8.0,2.6,0.0,3.6,2.9
24,25.0,Ron Slay,Tennessee,29.0,34.2,21.2,7.3,14.9,0.487,1.5,3.9,0.377,5.2,6.7,0.782,1.6,6.2,7.8,2.1,0.7,0.1,3.7,3.0
25,26.0,Brett Blizzard,UNC Wilmington,31.0,35.2,21.1,7.2,15.7,0.459,3.5,8.0,0.441,3.2,4.3,0.758,1.3,3.0,4.3,3.6,2.2,0.3,2.2,1.4
26,27.0,Antonio Gates,Kent State,31.0,33.3,20.6,7.5,15.6,0.478,0.5,1.4,0.349,5.3,7.4,0.709,1.8,5.9,7.7,4.1,1.5,0.2,3.5,2.7
27,28.0,Derrick Tarver,Akron,28.0,34.3,20.6,6.9,14.5,0.472,1.9,5.8,0.333,5.0,7.7,0.651,0.9,1.9,2.8,1.8,0.5,0.0,2.3,2.1
